"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bjlk_SB_MT16x16x32_MI16x16x4x1_SE_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASM_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_CLR0_DTLA0_DTLB0_DTVA0_DTVB0_DVO0_ETSP_EPS0_ELFLR0_EMLL0_FSSC10_FL0_GLVWA1_GLVWB1_GRCGA1_GRCGB1_GRPM1_GRVW1_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPPA0_LBSPPB0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_MO40_MMFGLC_MKFGSU256_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR1_PKA0_SIA3_SLW1_SS0_SU32_SUM0_SUS256_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT1_16_TLDS0_UMLDSA0_UMLDSB0_U64SL1_USFGROn1_VAW1_VSn1_VW1_VWB1_VFLRP0_WSGRA1_WSGRB1_WS64_WG16_4_1_WGM1.kd",5002,61167084,12228,0.070768198075076
"loop_compare_maximum_fusion_4.kd",5000,61045377,12209,0.07062738729058408
"input_reduce_fusion_501.kd",10000,60757070,6075,0.0702938260751691
"loop_add_fusion_28.kd",25000,60722960,2428,0.07025436198634084
"wrapped_transpose_96.kd",15000,59324431,3954,0.06863631236204067
"__amd_rocclr_fillBufferAligned.kd",7301,59290797,8120,0.06859739898872934
"input_reduce_fusion_447.kd",5000,59128262,11825,0.06840935162204217
"wrapped_transpose_49.kd",10000,58786192,5878,0.06801358847734917
"igemm_wrw_gtcx2_nhwc_fp32_bx0_ex0_bt64x64x16_wt32x32x2_ws1x1_wr1x1_ta1x1x1x4_1x16x1x16_tb1x1x1x4_1x16x1x16_gkgs.kd",5008,57755949,11532,0.06682163300192613
"wrapped_transpose_62.kd",15000,57557867,3837,0.06659245898717162
"loop_add_rsqrt_fusion_9.kd",30000,57458177,1915,0.06647712110926812
"input_reduce_select_fusion_5.kd",5000,57306989,11461,0.0663022018286535
"input_reduce_fusion_475.kd",5000,56027149,11205,0.06482147126735348
"Col2Im2dU.kd",7168,55839291,7790,0.06460412606655909
"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 16, Eigen::MakePointer> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 16, Eigen::MakePointer> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long) [clone .kd]",16404,55838344,3403,0.06460303042035209
"input_reduce_fusion_521.kd",15000,54964911,3664,0.06359249868486332
"loop_multiply_fusion_56.kd",5000,54793221,10958,0.06339385930019836
"wrapped_transpose_84.kd",15000,54222346,3614,0.06273337669363649
"loop_multiply_fusion_18.kd",10000,54018670,5401,0.062497730614592746
"input_reduce_fusion_315.kd",5000,52306491,10461,0.0605167988014629
